path,sz,dt,latlong
/mnt/4C74F47B74F468DA/Pictures/IMG_3889-2019-06-20 145845.JPG,2089001,2019:06:18 19:28:06,"(30.276466666666664, -86.01443611111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3890-2020-03-28 040529.JPG,1849445,2019:06:18 19:28:10,"(30.276466666666664, -86.01443611111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3891-2019-06-20 145845.JPG,1946849,2019:06:18 19:29:03,"(30.276469444444444, -86.01445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3892-2020-03-28 040529.JPG,1470021,2019:06:18 19:29:05,"(30.276469444444444, -86.01445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3893-2019-06-20 145844.JPG,1726336,2019:06:18 19:29:10,"(30.276469444444444, -86.01445)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3894-2019-06-20 145845.JPG,1667968,2019:06:18 19:32:58,"(30.276430555555553, -86.01449722222222)"
/mnt/4C74F47B74F468DA/Pictures/IMG_3895-2020-03-28 040528.JPG,1719079,2019:06:18 19:33:00,"(30.276430555555553, -86.01450277777778)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4055-2015-03-17 140902.JPG,3324779,2015:03:17 09:09:02,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4056-2015-03-17 140908.JPG,2647665,2015:03:17 09:09:08,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4057-2015-03-17 183333.JPG,1367870,2015:03:17 13:33:33,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4058-2015-03-18 233709.JPG,1278588,2015:03:18 18:37:09,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4060-2019-12-14 185303.JPG,4763098,2019:08:07 14:04:53,"(36.15186388888889, -86.8159861111111)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4061-2019-12-14 185303.JPG,1461279,2019:08:08 12:44:05,"(36.15216111111111, -86.81587222222223)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4062-2019-08-13 031153.JPG,1300708,2019:08:09 08:29:41,"(36.148780555555554, -86.82038888888889)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4063-2019-08-13 031151.JPG,1989842,2019:08:10 11:25:00,"(39.04826666666666, -94.35630833333333)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4064-2019-08-13 031146.JPG,1695437,2019:08:10 14:55:17,"(40.66229166666667, -95.75895555555556)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4588-2015-03-27 153802.JPG,1766933,2015:03:27 10:38:02,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4588-2019-09-06 141834.JPG,2482368,2019:08:29 15:42:50,"(47.50748055555555, -123.82459166666666)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4589-2015-03-27 154020.JPG,2307778,2015:03:27 10:40:20,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4589-2019-09-01 043804.JPG,2180927,2019:08:29 15:43:19,"(47.50768611111111, -123.82435555555556)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4590-2015-03-27 154022.JPG,1487893,2015:03:27 10:40:22,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4590-2019-09-01 043805.JPG,2708957,2019:08:29 15:43:56,"(47.50810277777778, -123.82424999999999)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4591-2015-03-27 154024.JPG,1619426,2015:03:27 10:40:24,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4591-2019-09-01 043804.JPG,2798228,2019:08:29 15:44:51,"(47.50814444444445, -123.82428055555555)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4592-2015-03-27 154026.JPG,1673414,2015:03:27 10:40:26,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4592-2019-09-01 043804.JPG,2542799,2019:08:29 15:45:58,"(47.50895555555555, -123.82331944444444)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4593-2015-03-27 154035.JPG,1763995,2015:03:27 10:40:35,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4593-2019-09-01 043805.JPG,1876342,2019:08:29 15:47:47,"(47.50924722222222, -123.82198333333334)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4594-2015-03-27 154624.JPG,2391916,2015:03:27 10:46:24,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4594-2019-09-01 043804.JPG,2870297,2019:08:29 15:49:45,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4595-2015-03-27 154629.JPG,1429867,2015:03:27 10:46:29,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4595-2019-09-01 043804.JPG,16583412,2019:08:29 15:49:57,"(47.509994444444445, -123.82076944444444)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4596-2015-03-27 154630.JPG,1384617,2015:03:27 10:46:30,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4596-2019-09-01 043806.JPG,2825908,2019:08:29 15:50:52,"(47.510266666666666, -123.82028888888888)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4597-2015-03-27 154631.JPG,1378106,2015:03:27 10:46:31,"(None, None)"
/mnt/4C74F47B74F468DA/Pictures/IMG_4597-2019-09-30 015525.JPG,3228890,2019:08:29 15:50:52,"(47.510266666666666, -123.82028888888888)"
